id,numero,sexo,total_electores,cantidad_votantes,dni_presidente,dni_suplente,circuito_id,municipio_id,departamento_id,esta_cargada,esta_incorporada,escuela_id,cantidad_sobres,asignacion1,asignacion2,carga1,carga2,ruta_imagen,cantidad_votantes2,cantidad_sobres2,cantidad_votantes3,cantidad_sobres3,fh_ruta,h_asig1,h_asig2,bue
478,1745,,349,264,0,0,62,39,8,X,X,62,264,18,22,t,t,aceptados/1745.jpg,264,264,264,264,17/11/2021 11:16:58,2021/11/17 11:18:00,2021/11/17 11:18:08,
345,1612,,348,265,0,0,58,63,7,X,X,45,265,22,20,t,t,aceptados/1612.jpg,265,265,265,265,17/11/2021 09:51:11,2021/11/17 09:51:13,2021/11/17 09:52:24,
581,2117,,186,135,0,0,96,56,13,X,X,79,135,24,22,t,t,aceptados/2117.jpg,135,135,135,135,17/11/2021 12:47:51,2021/11/17 12:47:53,2021/11/17 12:47:54,
221,1445,,350,278,0,0,47,28,6,X,X,30,278,22,20,t,t,aceptados/1445.jpg,278,278,278,278,17/11/2021 09:11:53,2021/11/17 09:11:55,2021/11/17 09:12:18,
97,1297,,349,280,0,0,34,32,4,X,X,11,280,41,32,t,t,aceptados/1297.jpg,280,280,280,280,16/11/2021 20:51:07,2021/11/16 20:56:36,2021/11/16 20:51:09,
589,2178,,350,272,0,0,107,43,15,X,X,80,272,43,31,t,t,aceptados/2178.jpg,272,272,272,272,17/11/2021 19:03:25,2021/11/17 19:03:44,2021/11/17 19:03:26,
409,1676,,352,266,0,0,62,39,8,X,X,54,266,18,21,t,t,aceptados/1676.jpg,266,266,266,266,17/11/2021 11:00:22,2021/11/17 11:00:46,2021/11/17 11:02:45,
117,1323,,216,114,0,0,38,32,4,X,X,15,114,21,25,t,t,aceptados/1323.jpg,114,114,114,114,17/11/2021 08:57:15,2021/11/17 08:57:16,2021/11/17 08:57:29,
412,1679,,349,255,0,0,62,39,8,X,X,55,253,25,21,t,t,aceptados/1679.jpg,255,253,255,253,17/11/2021 11:00:58,2021/11/17 11:01:27,2021/11/17 11:03:19,
276,1536,,352,275,0,0,53,60,7,X,X,37,275,22,42,t,t,aceptados/1536.jpg,275,275,275,275,17/11/2021 18:40:56,2021/11/17 18:40:58,2021/11/17 18:40:56,
244,1504,,349,286,0,0,53,60,7,X,X,34,286,22,21,t,t,aceptados/1504.jpg,286,286,286,286,17/11/2021 19:04:43,2021/11/17 19:05:22,2021/11/17 19:04:51,
537,1913,,352,301,0,0,74,48,10,X,X,68,301,18,35,t,t,aceptados/1913.jpg,301,301,301,301,17/11/2021 12:01:20,2021/11/17 12:01:22,2021/11/17 12:01:23,
